:0 lp:13347
[1786047577.191344337] t:198.37s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13353
[1786047577.291408337] t:198.47s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13338
[1786047577.391461337] t:198.57s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13343
[1786047577.491369337] t:198.67s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13338
[1786047577.591410337] t:198.77s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13350
[1786047577.691247337] t:198.87s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13303
[1786047577.791406337] t:198.97s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13348
[1786047577.891253337] t:199.07s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13331
[1786047577.991394337] t:199.17s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13345
[1786047578.091475337] t:199.27s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13335
[1786047578.191468337] t:199.37s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13323
[1786047578.291502337] t:199.47s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13316
[1786047578.391402337] t:199.57s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13311
[1786047578.491361337] t:199.67s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13335
[1786047578.591521337] t:199.77s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13333
[1786047578.691405337] t:199.87s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13304
[1786047578.791465337] t:199.97s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13309
[1786047578.891371337] t:200.07s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13327
[1786047578.991376337] t:200.17s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13350
[1786047579.091371337] t:200.27s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13349
[1786047579.191338337] t:200.37s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13338
[1786047579.291340337] t:200.47s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13349
[1786047579.391431337] t:200.57s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13351
[1786047579.491323337] t:200.67s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13315
[1786047579.591403337] t:200.77s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13361
[1786047579.691278337] t:200.87s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13347
[1786047579.791284337] t:200.97s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13352
[1786047579.891424337] t:201.07s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13374
[1786047579.991320337] t:201.17s enc:0.0 des:0.0 err:0.0 cur:-0 cmd:-0 | pub:0ms ret:0 lp:13329
