70_readAdcRaw: raw24=0xFFFFEC2C offset=-5076
  max11270_readAdcRaw: raw24=0xFFFFEC6E offset=-5010
  max11270_readAdcRaw: raw24=0xFFFFEC5C offset=-5028
  max11270_readAdcRaw: raw24=0xFFFFEC5C offset=-5028
  max11270_readAdcRaw: raw24=0xFFFFEC6F offset=-5009
  max11270_readAdcRaw: raw24=0xFFFFEC7C offset=-4996
  max11270_readAdcRaw: raw24=0xFFFFEC71 offset=-5007
  max11270_readAdcRaw: raw24=0xFFFFEC6B offset=-5013
  max11270_readAdcRaw: raw24=0xFFFFEC62 offset=-5022
Load cell tare: -5085 raw counts (from 10/10 samples)
WiFi connecting.... connected
WiFi IP: 192.168.4.101
Initializing micro-ROS...
Pinging agent at 192.168.4.100:8888 ...
Waiting for micro-ROS agent Agent found after 0 pings!
Node created
Loadcell publisher created on topic: loadcell_data
micro-ROS connected
Periodic register check (current contents, not a rewrite):
  CTRL1 = 0x43
  CTRL2 = 0x08
  CTRL5 = 0x0F
  STAT  = 0x3003
  max11270_readAdcRaw: raw24=0xFFFFE954 offset=-5804
  max11270_readAdcRaw: raw24=0xFFFFEB58 offset=-5288
  max11270_readAdcRaw: raw24=0xFFFFE998 offset=-5736
  max11270_readAdcRaw: raw24=0xFFFFEB61 offset=-5279
  max11270_readAdcRaw: raw24=0xFFFFEB64 offset=-5276
  max11270_readAdcRaw: raw24=0xFFFFEB6F offset=-5265
  max11270_readAdcRaw: raw24=0xFFFFEA9A offset=-5478
  max11270_readAdcRaw: raw24=0xFFFFEB4C offset=-5300
  max11270_readAdcRaw: raw24=0xFFFFEB5E offset=-5282
  max11270_readAdcRaw: raw24=0xFFFFEB51 offset=-5295
  max11270_readAdcRaw: raw24=0xFFFFEB79 offset=-5255
  max11270_readAdcRaw: raw24=0xFFFFEB5B offset=-5285
  max11270_readAdcRaw: raw24=0xFFFFE998 offset=-5736
  max11270_readAdcRaw: raw24=0xFFFFEB57 offset=-5289
  max11270_readAdcRaw: raw24=0xFFFFEB5B offset=-5285
  max11270_readAdcRaw: raw24=0xFFFFEB5A offset=-5286
  max11270_readAdcRaw: raw24=0xFFFFEB52 offset=-5294
  max11270_readAdcRaw: raw24=0xFFFFEB44 offset=-5308
  max11270_readAdcRaw: raw24=0xFFFFEB40 offset=-5312
  max11270_readAdcRaw: raw24=0xFFFFEB42 offset=-5310
  max11270_readAdcRaw: raw24=0xFFFFEB40 offset=-5312
  max11270_readAdcRaw: raw24=0xFFFFEB3A offset=-5318
  max11270_readAdcRaw: raw24=0xFFFFE96C offset=-5780
  max11270_readAdcRaw: raw24=0xFFFFEB33 offset=-5325
  max11270_readAdcRaw: raw24=0xFFFFEB2D offset=-5331
  max11270_readAdcRaw: raw24=0xFFFFEB37 offset=-5321
  max11270_readAdcRaw: raw24=0xFFFFEB1C offset=-5348
  max11270_readAdcRaw: raw24=0xFFFFEB15 offset=-5355
  max11270_readAdcRaw: raw24=0xFFFFEACC offset=-5428
  max11270_readAdcRaw: raw24=0xFFFFEAAD offset=-5459
  max11270_readAdcRaw: raw24=0xFFFFEAB7 offset=-5449
  max11270_readAdcRaw: raw24=0xFFFFEAA4 offset=-5468
  max11270_readAdcRaw: raw24=0xFFFFEA94 offset=-5484
  max11270_readAdcRaw: raw24=0xFFFFEAA9 offset=-5463
  max11270_readAdcRaw: raw24=0xFFFFEAB3 offset=-5453
  max11270_readAdcRaw: raw24=0xFFFFEAC7 offset=-5433
  max11270_readAdcRaw: raw24=0xFFFFEB05 offset=-5371
  max11270_readAdcRaw: raw24=0xFFFFEB34 offset=-5324
  max11270_readAdcRaw: raw24=0xFFFFEB3E offset=-5314
  max11270_readAdcRaw: raw24=0xFFFFEB28 offset=-5336
  max11270_readAdcRaw: raw24=0xFFFFEB2D offset=-5331
  max11270_readAdcRaw: raw24=0xFFFFEB42 offset=-5310
  max11270_readAdcRaw: raw24=0xFFFFEB36 offset=-5322
  max11270_readAdcRaw: raw24=0xFFFFEB26 offset=-5338
  max11270_readAdcRaw: raw24=0xFFFFEB2A offset=-5334
  max11270_readAdcRaw: raw24=0xFFFFEB36 offset=-5322
  max11270_readAdcRaw: raw24=0xFFFFEB2E offset=-5330
  max11270_readAdcRaw: raw24=0xFFFFEB36 offset=-5322
  max11270_readAdcRaw: raw24=0xFFFFEB25 offset=-5339
  max11270_readAdcRaw: raw24=0xFFFFEB2D offset=-5331
  max11270_readAdcRaw: raw24=0xFFFFEB39 offset=-5319
Periodic register check (current contents, not a rewrite):
  CTRL1 = 0x43
  CTRL2 = 0x08
  CTRL5 = 0x0F
  STAT  = 0x3002
  max11270_readAdcRaw: raw24=0xFFFFEB38 offset=-5320
  max11270_readAdcRaw: raw24=0xFFFFEB2C offset=-5332
  max11270_readAdcRaw: raw24=0xFFFFEB39 offset=-5319
  max11270_readAdcRaw: raw24=0xFFFFEB37 offset=-5321
  max11270_readAdcRaw: raw24=0xFFFFEB2B offset=-5333
  max11270_readAdcRaw: raw24=0xFFFFEB32 offset=-5326
  max11270_readAdcRaw: raw24=0xFFFFEB34 offset=-5324
  max11270_readAdcRaw: raw24=0xFFFFEB39 offset=-5319
  max11270_readAdcRaw: raw24=0xFFFFEB37 offset=-5321
  max11270_readAdcRaw: raw24=0xFFFFEB38 offset=-5320
  max11270_readAdcRaw: raw24=0xFFFFEB33 offset=-5325
  max11270_readAdcRaw: raw24=0xFFFFEB36 offset=-5322
  max11270_readAdcRaw: raw24=0xFFFFEB39 offset=-5319
  max11270_readAdcRaw: raw24=0xFFFFEB26 offset=-5338
  max11270_readAdcRaw: raw24=0xFFFFEB1D offset=-5347
  max11270_readAdcRaw: raw24=0xFFFFEB24 offset=-5340
  max11270_readAdcRaw: raw24=0xFFFFEB30 offset=-5328
  max11270_readAdcRaw: raw24=0xFFFFEB25 offset=-5339
  max11270_readAdcRaw: raw24=0xFFFFEB29 offset=-5335
  max11270_readAdcRaw: raw24=0xFFFFEB1F offset=-5345
  max11270_readAdcRaw: raw24=0xFFFFEA64 offset=-5532
  max11270_readAdcRaw: raw24=0xFFFFEA26 offset=-5594
  max11270_readAdcRaw: raw24=0xFFFFEA1E offset=-5602
  max11270_readAdcRaw: raw24=0xFFFFEA14 offset=-5612
  max11270_readAdcRaw: raw24=0xFFFFE9E1 offset=-5663
  max11270_readAdcRaw: raw24=0xFFFFEA1E offset=-5602
  max11270_readAdcRaw: raw24=0xFFFFEA5E offset=-5538
  max11270_readAdcRaw: raw24=0xFFFFEA92 offset=-5486
  max11270_readAdcRaw: raw24=0xFFFFEAD4 offset=-5420
  max11270_readAdcRaw: raw24=0xFFFFEB0E offset=-5362
  max11270_readAdcRaw: raw24=0xFFFFEB28 offset=-5336
  max11270_readAdcRaw: raw24=0xFFFFEB2E offset=-5330
  max11270_readAdcRaw: raw24=0xFFFFE950 offset=-5808
  max11270_readAdcRaw: raw24=0xFFFFEB24 offset=-5340
  max11270_readAdcRaw: raw24=0xFFFFEB1B offset=-5349
  max11270_readAdcRaw: raw24=0xFFFFEB1F offset=-5345
  max11270_readAdcRaw: raw24=0xFFFFEB2A offset=-5334
