ote 0x0F, read back 0x0F OK
  CTRL3: wrote 0x41, read back 0x41 OK
  CTRL4: wrote 0x1E, read back 0x1E OK
  CTRL5: wrote 0x0F, read back 0x0F OK
Boot tare - collecting 2000 fresh samples:
  sample    1:    10880  (running sum:     10880, n_ok: 1)
  sample    2:    10772  (running sum:     21652, n_ok: 2)
  sample    3:    10718  (running sum:     32370, n_ok: 3)
  sample    4:    10827  (running sum:     43197, n_ok: 4)
  sample    5:    10748  (running sum:     53945, n_ok: 5)
  sample    6:    10833  (running sum:     64778, n_ok: 6)
  sample    7:    10749  (running sum:     75527, n_ok: 7)
  sample    8:    10801  (running sum:     86328, n_ok: 8)
  sample    9:    10793  (running sum:     97121, n_ok: 9)
  sample   10:    10972  (running sum:    108093, n_ok: 10)
  sample   11:    11672  (running sum:    119765, n_ok: 11)
  sample   12:    11332  (running sum:    131097, n_ok: 12)
  sample   13:    11017  (running sum:    142114, n_ok: 13)
  sample   14:    10904  (running sum:    153018, n_ok: 14)
  sample   15:    10452  (running sum:    163470, n_ok: 15)
  sample   16:    10557  (running sum:    174027, n_ok: 16)
  sample   17:    10652  (running sum:    184679, n_ok: 17)
  sample   18:    10856  (running sum:    195535, n_ok: 18)
  sample   19:    11013  (running sum:    206548, n_ok: 19)
  sample   20:    10989  (running sum:    217537, n_ok: 20)
  sample   21:    10723  (running sum:    228260, n_ok: 21)
  sample   22:    10605  (running sum:    238865, n_ok: 22)
  sample   23:    10367  (running sum:    249232, n_ok: 23)
  sample   24:    10243  (running sum:    259475, n_ok: 24)
  sample   25:    10298  (running sum:    269773, n_ok: 25)
  sample   26:    10178  (running sum:    279951, n_ok: 26)
  sample   27:     9877  (running sum:    289828, n_ok: 27)
  sample   28:     9786  (running sum:    299614, n_ok: 28)
  sample   29:    10224  (running sum:    309838, n_ok: 29)
  sample   30:    10322  (running sum:    320160, n_ok: 30)
  sample   31:    10731  (running sum:    330891, n_ok: 31)
  sample   32:    10926  (running sum:    341817, n_ok: 32)
  sample   33:    11010  (running sum:    352827, n_ok: 33)
  sample   34:    10885  (running sum:    363712, n_ok: 34)
  sample   35:    10778  (running sum:    374490, n_ok: 35)
  sample   36:    10852  (running sum:    385342, n_ok: 36)
  sample   37:    10882  (running sum:    396224, n_ok: 37)
  sample   38:    11151  (running sum:    407375, n_ok: 38)
  sample   39:    11056  (running sum:    418431, n_ok: 39)
  sample   40:    11080  (running sum:    429511, n_ok: 40)
  sample   41:    11156  (running sum:    440667, n_ok: 41)
  sample   42:    11063  (running sum:    451730, n_ok: 42)
  sample   43:    11161  (running sum:    462891, n_ok: 43)
  sample   44:    11604  (running sum:    474495, n_ok: 44)
  sample   45:    11709  (running sum:    486204, n_ok: 45)
  sample   46:    11400  (running sum:    497604, n_ok: 46)
  sample   47:    11337  (running sum:    508941, n_ok: 47)
  sample   48:    10750  (running sum:    519691, n_ok: 48)
  sample   49:    10777  (running sum:    530468, n_ok: 49)
  sample   50:    10401  (running sum:    540869, n_ok: 50)
  sample   51:    10419  (running sum:    551288, n_ok: 51)
  sample   52:    10305  (running sum:    561593, n_ok: 52)
  sample   53:    10285  (running sum:    571878, n_ok: 53)
  sample   54:    10140  (running sum:    582018, n_ok: 54)
  sample   55:    10132  (running sum:    592150, n_ok: 55)
  sample   56:    10052  (running sum:    602202, n_ok: 56)
  sample   57:     9950  (running sum:    612152, n_ok: 57)
  sample   58:     9859  (running sum:    622011, n_ok: 58)
  sample   59:     9889  (running sum:    631900, n_ok: 59)
  sample   60:     9443  (running sum:    641343, n_ok: 60)
  sample   61:     8925  (running sum:    650268, n_ok: 61)
  sample   62:     9103  (running sum:    659371, n_ok: 62)
  sample   63:     9306  (running sum:    668677, n_ok: 63)
  sample   64:     9357  (running sum:    678034, n_ok: 64)
  sample   65:     9954  (running sum:    687988, n_ok: 65)
  sample   66:    10287  (running sum:    698275, n_ok: 66)
  sample   67:    10254  (running sum:    708529, n_ok: 67)
  sample   68:    10289  (running sum:    718818, n_ok: 68)
  sample   69:    10424  (running sum:    729242, n_ok: 69)
  sample   70:    10469  (running sum:    739711, n_ok: 70)
  sample   71:    10600  (running sum:    750311, n_ok: 71)
  sample   72:    10578  (running sum:    760889, n_ok: 72)
  sample   73:    10762  (running sum:    771651, n_ok: 73)
  sample   74:    10750  (running sum:    782401, n_ok: 74)
  sample   75:    10840  (running sum:    793241, n_ok: 75)
  sample   76:    10934  (running sum:    804175, n_ok: 76)
  sample   77:    11268  (running sum:    815443, n_ok: 77)
  sample   78:    12203  (running sum:    827646, n_ok: 78)
  sample   79:    11976  (running sum:    839622, n_ok: 79)
  sample   80:    11931  (running sum:    851553, n_ok: 80)
  sample   81:    11810  (running sum:    863363, n_ok: 81)
  sample   82:    11304  (running sum:    874667, n_ok: 82)
  sample   83:    11197  (running sum:    885864, n_ok: 83)
  sample   84:    10966  (running sum:    896830, n_ok: 84)
  sample   85:    11076  (running sum:    907906, n_ok: 85)
  sample   86:    10985  (running sum:    918891, n_ok: 86)
  sample   87:    11078  (running sum:    929969, n_ok: 87)
  sample   88:    10965  (running sum:    940934, n_ok: 88)
  sample   89:    11010  (running sum:    951944, n_ok: 89)
  sample   90:    11065  (running sum:    963009, n_ok: 90)
  sample   91:    10987  (running sum:    973996, n_ok: 91)
  sample   92:    10985  (running sum:    984981, n_ok: 92)
  sample   93:    10586  (running sum:    995567, n_ok: 93)
  sample   94:    10074  (running sum:   1005641, n_ok: 94)
  sample   95:     9689  (running sum:   1015330, n_ok: 95)
  sample   96:     9786  (running sum:   1025116, n_ok: 96)
  sample   97:    10004  (running sum:   1035120, n_ok: 97)
  sample   98:    10398  (running sum:   1045518, n_ok: 98)
  sample   99:    10693  (running sum:   1056211, n_ok: 99)
  sample  100:    11029  (running sum:   1067240, n_ok: 100)
  sample  101:    10955  (running sum:   1078195, n_ok: 101)
  sample  102:    10837  (running sum:   1089032, n_ok: 102)
  sample  103:    10892  (running sum:   1099924, n_ok: 103)
  sample  104:    10699  (running sum:   1110623, n_ok: 104)
  sample  105:    10776  (running sum:   1121399, n_ok: 105)
  sample  106:    10687  (running sum:   1132086, n_ok: 106)
  sample  107:    10759  (running sum:   1142845, n_ok: 107)
  sample  108:    10699  (running sum:   1153544, n_ok: 108)
  sample  109:    10784  (running sum:   1164328, n_ok: 109)
  sample  110:    11061  (running sum:   1175389, n_ok: 110)
  sample  111:    11823  (running sum:   1187212, n_ok: 111)
  sample  112:    11876  (running sum:   1199088, n_ok: 112)
  sample  113:    11633  (running sum:   1210721, n_ok: 113)
  sample  114:    11651  (running sum:   1222372, n_ok: 114)
  sample  115:    11020  (running sum:   1233392, n_ok: 115)
  sample  116:    10915  (running sum:   1244307, n_ok: 116)
  sample  117:    10742  (running sum:   1255049, n_ok: 117)
  sample  118:    10460  (running sum:   1265509, n_ok: 118)
  sample  119:    10505  (running sum:   1276014, n_ok: 119)
  sample  120:    10486  (running sum:   1286500, n_ok: 120)
  sample  121:    10494  (running sum:   1296994, n_ok: 121)
  sample  122:    10432  (running sum:   1307426, n_ok: 122)
  sample  123:    10523  (running sum:   1317949, n_ok: 123)
  sample  124:    10519  (running sum:   1328468, n_ok: 124)
  sample  125:    10585  (running sum:   1339053, n_ok: 125)
  sample  126:    10613  (running sum:   1349666, n_ok: 126)
  sample  127:    10099  (running sum:   1359765, n_ok: 127)
  sample  128:     9730  (running sum:   1369495, n_ok: 128)
  sample  129:     9802  (running sum:   1379297, n_ok: 129)
  sample  130:     9876  (running sum:   1389173, n_ok: 130)
  sample  131:     9847  (running sum:   1399020, n_ok: 131)
  sample  132:    10283  (running sum:   1409303, n_ok: 132)
  sample  133:    10359  (running sum:   1419662, n_ok: 133)
  sample  134:    10317  (running sum:   1429979, n_ok: 134)
  sample  135:    10343  (running sum:   1440322, n_ok: 135)
  sample  136:    10507  (running sum:   1450829, n_ok: 136)
  sample  137:    10454  (running sum:   1461283, n_ok: 137)
  sample  138:    10611  (running sum:   1471894, n_ok: 138)
  sample  139:    10639  (running sum:   1482533, n_ok: 139)
  sample  140:    10856  (running sum:   1493389, n_ok: 140)
  sample  141:    10763  (running sum:   1504152, n_ok: 141)
  sample  142:    10510  (running sum:   1514662, n_ok: 142)
  sample  143:    10401  (running sum:   1525063, n_ok: 143)
  sample  144:    10704  (running sum:   1535767, n_ok: 144)
  sample  145:    11365  (running sum:   1547132, n_ok: 145)
  sample  146:    11008  (running sum:   1558140, n_ok: 146)
  sample  147:    10995  (running sum:   1569135, n_ok: 147)
  sample  148:    10784  (running sum:   1579919, n_ok: 148)
  sample  149:    10339  (running sum:   1590258, n_ok: 149)
  sample  150:    10465  (running sum:   1600723, n_ok: 150)
  sample  151:    10534  (running sum:   1611257, n_ok: 151)
  sample  152:    10594  (running sum:   1621851, n_ok: 152)
  sample  153:    10512  (running sum:   1632363, n_ok: 153)
  sample  154:    10377  (running sum:   1642740, n_ok: 154)
  sample  155:    10051  (running sum:   1652791, n_ok: 155)
  sample  156:     9900  (running sum:   1662691, n_ok: 156)
  sample  157:     9854  (running sum:   1672545, n_ok: 157)
  sample  158:     9983  (running sum:   1682528, n_ok: 158)
  sample  159:     9941  (running sum:   1692469, n_ok: 159)
  sample  160:     9671  (running sum:   1702140, n_ok: 160)
  sample  161:     9524  (running sum:   1711664, n_ok: 161)
  sample  162:     9351  (running sum:   1721015, n_ok: 162)
  sample  163:     9678  (running sum:   1730693, n_ok: 163)
  sample  164:     9733  (running sum:   1740426, n_ok: 164)
  sample  165:    10118  (running sum:   1750544, n_ok: 165)
  sample  166:    10299  (running sum:   1760843, n_ok: 166)
  sample  167:    10578  (running sum:   1771421, n_ok: 167)
  sample  168:    10482  (running sum:   1781903, n_ok: 168)
  sample  169:    10626  (running sum:   1792529, n_ok: 169)
  sample  170:    10536  (running sum:   1803065, n_ok: 170)
  sample  171:    10475  (running sum:   1813540, n_ok: 171)
  sample  172:    10746  (running sum:   1824286, n_ok: 172)
  sample  173:    10759  (running sum:   1835045, n_ok: 173)
  sample  174:    10810  (running sum:   1845855, n_ok: 174)
  sample  175:    10888  (running sum:   1856743, n_ok: 175)
  sample  176:    10788  (running sum:   1867531, n_ok: 176)
